DATE,VIX
10/01/2018,9.82
11/01/2018,9.88
12/01/2018,10.16
16/01/2018,11.66
17/01/2018,11.91
18/01/2018,12.22
19/01/2018,11.27
22/01/2018,11.03
23/01/2018,11.1
24/01/2018,11.47
25/01/2018,11.58
26/01/2018,11.08
29/01/2018,13.84
30/01/2018,14.79
31/01/2018,13.54
01/02/2018,13.47
02/02/2018,17.31
05/02/2018,37.32
06/02/2018,29.98
07/02/2018,27.73
08/02/2018,33.46
09/02/2018,29.06
12/02/2018,25.61
13/02/2018,24.97
14/02/2018,19.26
15/02/2018,19.13
16/02/2018,19.46
20/02/2018,20.6
21/02/2018,20.02
22/02/2018,18.72
23/02/2018,16.49
26/02/2018,15.8
27/02/2018,18.59
28/02/2018,19.85
01/03/2018,22.47
02/03/2018,19.59
05/03/2018,18.73
06/03/2018,18.36
07/03/2018,17.76
08/03/2018,16.54
09/03/2018,14.64
12/03/2018,15.78
13/03/2018,16.35
14/03/2018,17.23
15/03/2018,16.59
16/03/2018,15.8
19/03/2018,19.02
20/03/2018,18.2
21/03/2018,17.86
22/03/2018,23.34
23/03/2018,24.87
26/03/2018,21.03
27/03/2018,22.5
28/03/2018,22.87
29/03/2018,19.97
02/04/2018,23.62
03/04/2018,21.1
04/04/2018,20.06
05/04/2018,18.94
06/04/2018,21.49
09/04/2018,21.77
10/04/2018,20.47
11/04/2018,20.24
12/04/2018,18.49
13/04/2018,17.41
16/04/2018,16.56
17/04/2018,15.25
18/04/2018,15.6
19/04/2018,15.96
20/04/2018,16.88
23/04/2018,16.34
24/04/2018,18.02
25/04/2018,17.84
26/04/2018,16.24
27/04/2018,15.41
30/04/2018,15.93
01/05/2018,15.49
02/05/2018,15.97
03/05/2018,15.9
04/05/2018,14.77
07/05/2018,14.75
08/05/2018,14.71
09/05/2018,13.42
10/05/2018,13.23
11/05/2018,12.65
14/05/2018,12.93
15/05/2018,14.63
16/05/2018,13.42
17/05/2018,13.43
18/05/2018,13.42
21/05/2018,13.08
22/05/2018,13.22
23/05/2018,12.58
24/05/2018,12.53
25/05/2018,13.22
29/05/2018,17.02
30/05/2018,14.94
31/05/2018,15.43
01/06/2018,13.46
04/06/2018,12.74
05/06/2018,12.4
06/06/2018,11.64
07/06/2018,12.13
08/06/2018,12.18
11/06/2018,12.35
12/06/2018,12.34
13/06/2018,12.94
14/06/2018,12.12
15/06/2018,11.98
18/06/2018,12.31
19/06/2018,13.35
20/06/2018,12.79
21/06/2018,14.64
22/06/2018,13.77
